Job name ; Cluster 0 ; Cluster 1 ; Cluster 2 ; Cluster 3 ; Cluster 4 ; Cluster 5 ; Cluster 6 ; Cluster 7
Job80 ; 0. ; 1.049999595e-002 ; 2.500003576e-003 ; 5.000174046e-004 ; 1.050000191e-002 ; 1.050000787e-002 ; 0. ; 0.
Job84 ; 0. ; 8.749991655e-003 ; 2.749997377e-003 ; 7.500112057e-004 ; 1.074999571e-002 ; 1.075000167e-002 ; 0. ; 0.
Job82 ; 0. ; 3.499996662e-003 ; 3.500002623e-003 ; 1.500016451e-003 ; 1.150000095e-002 ; 1.150000691e-002 ; 0. ; 0.
Job83 ; 0. ; 0. ; 4.249995947e-003 ; 2.250009775e-003 ; 1.224999428e-002 ; 1.225000024e-002 ; 0. ; 0.
Job81 ; 0. ; 0. ; 4.74999547e-003 ; 2.750009298e-003 ; 1.27499938e-002 ; 1.274999976e-002 ; 0. ; 0.
Job149 ; 0. ; 0. ; 5.249994993e-003 ; 3.250008821e-003 ; 1.324999332e-002 ; 1.324999928e-002 ; 0. ; 0.
Job85 ; 0. ; 0. ; 5.750000477e-003 ; 3.750014305e-003 ; 1.374999881e-002 ; 9.750002623e-003 ; 0. ; 0.
Job209 ; 0. ; 0. ; 6.000000238e-003 ; 4.000014067e-003 ; 1.399999857e-002 ; 1.000000238e-002 ; 0. ; 0.
Job150 ; 0. ; 0. ; 6.25e-003 ; 4.250013828e-003 ; 1.225000024e-002 ; 1.025000215e-002 ; 0. ; 0.
Job303 ; 0. ; 0. ; 6.999999285e-003 ; 5.000013113e-003 ; 1.299999952e-002 ; 5.000001192e-003 ; 0. ; 0.
Job151 ; 0. ; 0. ; 7.249999046e-003 ; 5.250012875e-003 ; 1.125000119e-002 ; 5.250000954e-003 ; 0. ; 0.
Job211 ; 0. ; 0. ; 7.749998569e-003 ; 5.750012398e-003 ; 1.175000072e-002 ; 1.749998331e-003 ; 0. ; 0.
Job212 ; 0. ; 0. ; 7.999998331e-003 ; 6.000012159e-003 ; 1.000000238e-002 ; 1.999998093e-003 ; 0. ; 0.
Job210 ; 2.499878407e-004 ; 0. ; 8.249998093e-003 ; 6.250011921e-003 ; 8.250004053e-003 ; 2.249997854e-003 ; 0. ; 0.
Job305 ; 4.999876022e-004 ; 0. ; 8.499997854e-003 ; 6.500011683e-003 ; 6.500005722e-003 ; 2.499997616e-003 ; 0. ; 0.
Job304 ; 1.249986887e-003 ; 0. ; 9.249997139e-003 ; 7.250010967e-003 ; 1.250004768e-003 ; 3.249996901e-003 ; 0. ; 0.
Job306 ; 1.74998641e-003 ; 0. ; 9.749996662e-003 ; 7.75001049e-003 ; 0. ; 3.749996424e-003 ; 0. ; 0.
Job213 ; 2.499985695e-003 ; 0. ; 1.049999595e-002 ; 8.500009775e-003 ; 0. ; 4.499995708e-003 ; 0. ; 0.
Job307 ; 2.749991417e-003 ; 0. ; 1.075000167e-002 ; 8.750015497e-003 ; 0. ; 4.750001431e-003 ; 0. ; 0.
